id_penyakit,Nama_Penyakit,links-href,Deskripsi_Penyakit_1,Deskripsi_Penyakit_2,Anjuran_Penanganan_1,Anjuran_Penangan_2
34,Mimisan,https://www.klikdokter.com/penyakit/masalah-tht/mimisan,"Mimisan atau epistaksis adalah perdarahan yang mengalir keluar dari rongga hidung atau nasofaring. Ini bukanlah suatu penyakit, melainkan gejala dari suatu kelainan.",Hampir 90% kasus mimisan/ epistaksis dapat berhenti sendiri. Perdarahan dari hidung dapat merupakan gejala yang sangat mengganggu. Sumber perdarahan harus dicari dan dikoreksi pengobatan dapat efektif.,,
35,Panu,https://www.klikdokter.com/penyakit/masalah-kulit/panu,Panu adalah infeksi pada kulit yang ditandai dengan munculnya bercak putih hingga cokelat yang bersisik halus.,"Cara mencegah panu adalah dengan menggunakan pakaian yang mudah menyerap keringat dan hindari berbagi barang pribadi dengan orang lain (seperti handuk, celana dalam, dan baju).","Panu termasuk penyakit yang mudah kambuh. Oleh karena itu, pengobatan harus dilakukan secara menyeluruh, tekun, dan konsisten.","Jika panu tidak kunjung membaik atau bahkan memberat, sebaiknya Anda berkonsultasi ke dokter spesialis kulit."
36,Penyakit Ambeien Atau Wasir,https://www.klikdokter.com/penyakit/masalah-pencernaan/ambeien,"Ambeien atau wasir dalam bahasa medis disebut hemoroid, merupakan suatu kondisi dimana terjadi pelebaran dari pembuluh darah yang berlokasi di sekitar anus. Pembuluh darah anus yang melebar ini seringkali teregang hebat, menipis, dan teriritasi.","Kondisi tersebut terutama terjadi bila faktor-faktor risiko terus berulang (contohnya sering mengalami buang air besar yang keras). Hal inilah yang berujung pada terjadinya komplikasi ambeien yaitu kondisi anemia hingga syok, bila terjadi perdarahan yang begitu banyak dari pembuluh darah yang teriritasi tersebut.","Bila Anda mengalami tanda dan gejala ambeien atau wasir, maka hal pertama yang harus Anda perhatikan adalah seberapa berat derajat ambeien yang diderita. Bila ambeien tersebut tidak tampak (hanya dirasakan), masih dapat masuk dengan sendirinya, maka Anda masih dapat menunda kunjungan ke dokter.","Lain halnya jika ambeien disertai keluhan ketidaknyamanan yang begitu mengganggu Anda, menimbulkan perdarahan yang banyak, atau ambeien telah menonjol keluar dan tidak dapat masuk sama sekali. Biasanya Anda akan disarankan untuk segera mengunjungi dokter untuk memperoleh penanganan. Bila Anda mengalami perdarahan dari anus untuk pertama kalinya, maka Anda juga disarankan untuk memperoleh pemeriksaan dari dokter karena perdarahan lewat anus dapat pula disebabkan oleh berbagai penyakit lain seperti polip usus besar, kanker usus besar, atau penyakit Chron’s."
37,Penyakit Kuning,https://www.klikdokter.com/penyakit/masalah-pencernaan/penyakit-kuning,Penyakit kuning terjadi akibat penumpukan bilirubin di darah dan jaringan tubuh lainnya.,,"Pengobatan penyakit kuning didasarkan pada masalah penyebabnya. Bila kuning disebabkan oleh virus hepatitis, umumnya kuning akan berangsur menghilang seiring dengan pulihnya fungsi hati.","Bila penyebab sakit kuning karena adanya sumbatan saluran empedu, maka salah satu langkah pengobatan yang harus dilakukan adalah operasi. Oleh karena itu, penting untuk mengetahui penyebabnya terlebih dahulu sebelum menentukan langkah pengobatan yang tepat."
38,Penyakit Maag,https://www.klikdokter.com/penyakit/masalah-pencernaan/mag,"Penyakit maag merupakan istilah yang sering dipakai untuk menggambarkan gangguan di lambung. Dalam dunia medis, kondisi itu disebut dengan dispepsia.",Sakit maag adalah ketidaknyamanan pada perut bagian atas ataupun sekitar ulu hati. Sifat nyerinya berulang dan juga kronik. ,"Segera hubungi dokter bila Anda mengalami salah satu dari kondisi berikut: Usia >50 tahun saat gejala pertama kali muncul, muntah terus-menerus, muntah darah, berat badan menurun tanpa disengaja, atau kehilangan nafsu makan, tinja berwarna merah kehitaman; menyerupai kopi, nyeri atau kesulitan saat menelan, nyeri perut hebat yang berlangsung lebih dari 1 jam, nyeri perut hilang timbul selama lebih dari 24 jam, mengalami demam >39oC, terdapat riwayat kanker pada keluarga.",
39,Rabun Dekat,https://www.klikdokter.com/penyakit/masalah-mata/rabun-dekat,"Rabun dekat atau hipermetropia atau hiperopia adalah gangguan penglihatan dalam jarak yang dekat sehingga penderita mengalami penglihatan buram atau tidak jelas ketika melihat dekat. Contohnya, tidak jelas dalam membaca buku. Namun, penderita rabun dekat umumnya tidak bermasalah dalam melihat jarak jauh.",,,
40,Rabun Jauh,https://www.klikdokter.com/penyakit/masalah-mata/rabun-jauh,"Rabun jauh atau miopia adalah gangguan penglihatan dalam jarak yang jauh. Gangguan ini membuat penderitanya sehingga penderita mengalami penglihatan buram atau tidak jelas ketika melihat jauh. Contohnya, tidak jelas dalam melihat lampu lalu lintas. Namun, tidak bermasalah dalam melihat jarak yang dekat seperti membaca buku.",,,
41,Rabun Senja,https://www.klikdokter.com/penyakit/masalah-mata/rabun-senja,"Rabun senja merupakan suatu kondisi di mana terjadi penurunan tajam penglihatan secara signifikan ketika berada dalam lingkungan gelap. Dalam dunia medis, rabun senja disebut nyctalopia.","Sebenarnya, penurunan tajam penglihatan dalam lingkungan gelap merupakan hal yang normal terjadi. Akan tetapi, bila kemampuan melihat menjadi sangat terbatas hingga mengganggu aktivitas, kondisi ini harus ditangani dengan baik.",,
42,Radang Amandel,https://www.klikdokter.com/penyakit/masalah-tht/radang-amandel,Radang amandel atau tonsilitis adalah kondisi peradangan akibat infeksi pada tonsil (amandel). Tonsil sendiri merupakan kumpulan kelenjar getah bening yang berada di bagian belakang tenggorokan. ,,"Cara mengobati radang amandel tergantung dari penyebabnya. Jika disebabkan oleh infeksi virus, tubuh dapat melawan sendiri infeksi tersebut. Cara mengobati radang amandel tergantung dari penyebabnya. Jika disebabkan oleh infeksi virus, tubuh dapat melawan sendiri infeksi tersebut. ",Jika konsumsi obat radang amandel tidak seperti anjuran dokter dapat mengakibatkan infeksi memburuk atau menyebar ke bagian lain dari tubuh. 
43,Rambut Rontok,https://www.klikdokter.com/penyakit/masalah-kulit/rambut-rontok,Rambut rontok dalam dunia medis disebut sebagai alopesia. Kerontokan merupakan kondisi umum yang memang terjadi pada semua orang.  Itu sebabnya kerontokan dianggap normal bila jumlah helai yang rontok tidak lebih dari 100 helai per hari.,"Namun kerontokan bisa menjadi masalah bila jumlah yang rontok lebih dari 100 helai per hari dan tak terkendali. Sebab rambut rontok yang tak terkendali merupakan awal kebotakan. Jika merasa kerontokan yang Anda alami sudah demikian menganggu, konsultasikan pada dokter untuk penanganan segera.","Asupan nutrisi –seperti seng, vitamin B, asam folat, zat besi dan kalsium, adalah jenis asupan yang baik dan dianjurkan untuk mengatasi rambut rontok. Beberapa studi menunjukkan asupan vitamin D juga berdampak positif. Vitamin biotin diketahui dapat merangsang pertumbuhan rambut.",
44,Rematik,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/rematik,"Rheumatoid artritis, atau sering disebut rematik, adalah penyakit autoimun yang menyerang sendi. Penyakit ini menyebabkan peradangan pada sendi, jaringan di sekitar sendi, serta dapat mengenai organ lain di dalam tubuh, seperti kulit dan paru.","Penyakit ini biasanya muncul perlahan. Bahkan, awalnya nyeri sendi dirasakan tak terlalu mengganggu. Namun, dalam beberapa minggu hingga beberapa bulan, akan semakin banyak sendi yang terkena. Peradangan pun akan semakin hebat.","Apabila Anda mendapati gejala-gejala di atas serta merasakan nyeri terus-menerus dan mengganggu aktivitas sehari-hari, segera konsultasi lanjut ke dokter.",
45,Rhinofaringitis,https://www.klikdokter.com/penyakit/masalah-tht/rhinofaringitis,"Rhinofaringitis adalah peradangan yang terjadi di saluran hidung dan tenggorokan atau faring.  Hidung dan faring sama-sama merupakan bagian dari saluran napas, sehingga infeksi kuman di hidung dapat menjalar ke faring, begitupun sebaliknya.","Penyakit ini mudah menular lewat udara. Oleh karena itu, baik penderita maupun orang-orang di sekitarnya wajib menjaga kebersihan diri untuk mencegah penularan.","Karena rhinofaringitis sudah umum ditemukan di masyarakat, kebanyakan orang tidak pergi ke dokter dan memilih melakukan pengobatan rumahan. Pengobatan rhinofaringitis didasarkan pada kuman penyebabnya. Apabila disebabkan oleh virus, pengobatannya hanya bersifat suportif atau menanggulangi gejalanya saja. Salah satunya dengan pemberian obat penurun panas, seperti paracetamol. ","Akan tetapi, segeralah temui dokter jika: Gejala yang dirasakan semakin serius, Gejala tidak hilang dalam 7-10 hari, Ada pembengkakan kelenjar getah bening di leher, Ada nanah atau bercak putih di tenggorokan, Terdapat darah pada ludah atau dahak."
46,Sakit Tenggorokan,https://www.klikdokter.com/penyakit/masalah-tht/sakit-tenggorokan,"Sakit tenggorokan merupakan salah satu keluhan yang sering dialami oleh banyak orang pada berbagai rentang usia –mulai dari anak-anak, orang dewasa, hingga lansia. Sakit tenggorokan bukanlah suatu penyakit, melainkan gejala dari berbagai penyakit.",,,
47,Shigellosis,https://www.klikdokter.com/penyakit/masalah-infeksi/shigellosis,"Shigellosis merupakan penyakit pada usus yang disebabkan oleh kelompok bakteri yang dikenal dengan nama Shigella. Umumnya, kondisi ini ditandai dengan adanya gejala diare, yang sering kali disertai darah.",,Infeksi shigellosis umumnya berlangsung selama 5–7 hari. Menggantikan cairan tubuh yang hilang akibat diare merupakan salah satu elemen penting dari penanganan masalah.,Anak-anak dan orang dewasa yang mengalami dehidrasi berat butuh dirawat di ruang darurat. Hal ini diperlukan agar petugas kesehatan dapat secara intensif memberikan cairan pengganti melalui pembuluh darah vena. Cairan pengganti melalui infus dapat memberikan air dan nutrisi esensial bagi tubuh dengan lebih cepat dibandingkan cairan rehidrasi oral.
