links,links-href,Deskripsi_Penyakit
Penyakit Tipes,https://www.klikdokter.com/penyakit/masalah-pencernaan/penyakit-tipes,"Tipes atau disebut Demam tifoid adalah penyakit yang disebabkan oleh infeksi bakteri Salmonella typhi. Ini penyebab, gejala, dan pengobatannya."
Penyakit Whipple,https://www.klikdokter.com/penyakit/masalah-infeksi/penyakit-whipple,Penyakit Whipple merupakan penyakit yang disebabkan oleh infeksi bakteri. Penyakit ini cukup langka dan jarang terjadi.
Pergelangan Kaki Terkilir,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/pergelangan-kaki-terkilir,Pergelangan kaki terkilir atau sprain ankle terjadi karena adanya cedera pada ligamen.
Perut Kembung,https://www.klikdokter.com/penyakit/masalah-pencernaan/perut-kembung,Kembung adalah gejala yang menunjukkan adanya udara atau gas dalam rongga abdomen atau usus.
Plantar Fasciitis,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/plantar-fasciitis,Plantar fasciitis adalah kondisi peradangan fascia yang ada di telapak kaki.
Polip Hidung,https://www.klikdokter.com/penyakit/masalah-tht/polip-hidung,Polip hidung adalah pertumbuhan jinak pada bagian mukosa hidung. Kondisi ini sering kali merupakan akibat dari kondisi alergi dan peradangan. Berikut penjelasannya.
Porfiria,https://www.klikdokter.com/penyakit/gangguan-darah/porfiria,Istilah porfiria digunakan untuk menggambarkan kelompok kelainan yang disebabkan penumpukan porfirin atau bahan kimia alami.
Proctalgia Fugax,https://www.klikdokter.com/penyakit/masalah-pencernaan/proctalgia-fugax,"Proctalgia fugax merupakan rasa nyeri yang terjadi akibat spasme otot di sekitar anus, di mana hal ini terjadi tanpa sebab yang jelas."
Pruritus,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/pruritus,Pruritus merupakan istilah medis yang digunakan untuk menggambarkan keluhan gatal di kulit
Psoriasis,https://www.klikdokter.com/penyakit/masalah-kulit/psoriasis,Psoriasis adalah penyakit peradangan kronis pada kulit. Bagaimana cara mengobati psoriasis? Simak penjelasannya di sini.
Pterygium,https://www.klikdokter.com/penyakit/masalah-mata/pterygium,Pterigium merupakan kondisi di mana terdapat pertumbuhan pada konjungtiva yang dapat mencapai kornea.
Rabun Dekat,https://www.klikdokter.com/penyakit/masalah-mata/rabun-dekat,Rabun dekat adalah gangguan penglihatan dalam jarak yang dekat sehingga penderita mengalami penglihatan buram ketika melihat dekat.
Rabun Jauh,https://www.klikdokter.com/penyakit/masalah-mata/rabun-jauh,Rabun jauh atau miopia adalah gangguan penglihatan dalam jarak yang jauh.
Rabun Senja,https://www.klikdokter.com/penyakit/masalah-mata/rabun-senja,Rabun senja merupakan suatu kondisi di mana terjadi penurunan tajam penglihatan secara signifikan ketika berada dalam lingkungan gelap.
Radang Amandel,https://www.klikdokter.com/penyakit/masalah-tht/radang-amandel,Radang amandel atau tonsilitis adalah kondisi peradangan akibat infeksi pada tonsil (amandel). Bagaimana cara mengatasi radang amandel? Simak di sini.
Radang Sendi,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/radang-sendi,"Radang sendi atau artritis, merupakan nyeri di daerah persedian akibat peradangan yang terjadi di celah sendi atau jaringan sekeliling sendi"
Radang Tenggorokan,https://www.klikdokter.com/penyakit/masalah-tht/radang-tenggorokan,"Penyakit radang tenggorokan bisa menimbulkan rasa tidak nyaman. Berikut merupakan gejala, penyebab dan obat radang tenggorokan"
Rambut Rontok,https://www.klikdokter.com/penyakit/masalah-kulit/rambut-rontok,Rambut rontok dalam dunia medis disebut sebagai alopesia. Kerontokan merupakan kondisi umum yang memang terjadi pada semua orang.
Rematik,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/rematik,"Rematik (rheumatoid arthritis) adalah autoimun sistemik yang sebabkan peradangan sendi. Ini gejala, penyebab, dan pengobatan rematik."
Resistensi Antibiotik,https://www.klikdokter.com/penyakit/masalah-infeksi/resistensi-antibiotik,"Antibiotik adalah obat untuk mengatasi infeksi bakteri. Tapi, jika penggunaan antibiotik tidak sesuai, resistensi antibiotik bisa terjadi. Apa bahayanya?"
Rheumatoid Artritis,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/rheumatoid-artritis,Rheumatoid artritis merupakan penyakit autoimun yang menyerang sendi.
Rhinofaringitis,https://www.klikdokter.com/penyakit/masalah-tht/rhinofaringitis,Rhinofaringitis adalah gangguan kesehatan akibat infeksi di rongga hidung hingga tenggorokan (faring). Bagaimana cara mengobati penyakit Rhinofaringitis?
Rosacea,https://www.klikdokter.com/penyakit/masalah-kulit/rosacea,Rosacea merupakan kelainan kulit yang ditandai dengan adanya peradangan kronik di kulit.
Roseola Infantum,https://www.klikdokter.com/penyakit/masalah-infeksi/roseola-infantum,Roseola infantum merupakan penyakit akibat infeksi virus yang ditandai dengan demam tinggi dan kemerahan di kulit.
Rotavirus,https://www.klikdokter.com/penyakit/masalah-infeksi/rotavirus,Rotavirus adalah penyebab gastroenteritis (diare) yang paling umum pada anak-anak.
Ruam Kulit,https://www.klikdokter.com/penyakit/masalah-kulit/ruam-kulit,"Ruam kulit bukanlah suatu diagnosis penyakit, melainkan suatu gejala kulit. Ketahui apa itu ruam kulit, penyebab, gejala, dan pengobatannya."
Ruam Popok,https://www.klikdokter.com/penyakit/masalah-kulit/ruam-popok,"Ruam popok (diaper rash) merupakan kondisi yang sering dialami oleh bayi, terkait dengan penggunaan popoknya."
Rubella,https://www.klikdokter.com/penyakit/masalah-kulit/rubella,"Rubella, atau Campak Jerman, adalah infeksi virus yang menyerang kulit dan kelenjar getah bening. Simak penyebab, gejala, dan pengobatannya."
Sakit Leher,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/sakit-leher,Sakit leher termasuk gangguan kesehatan yang umum dialami siapa pun.
Sakit Lutut,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/sakit-lutut,Nyeri lutut merupakan keluhan yang sering ditemui dalam kehidupan sehari-hari. Kondisi kesehatan ini sebenarnya bukanlah suatu penyakit
Sakit Perut,https://www.klikdokter.com/penyakit/masalah-pencernaan/sakit-perut,Sakit perut merupakan salah satu keluhan yang umum dirasakan sebagian besar orang.
Sakit Pinggang,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/sakit-pinggang,Sakit pinggang merupakan salah satu keluhan kesehatan yang sering ditemukan sehari-hari dan bisa dialami siapa saja.
Sakit Tenggorokan,https://www.klikdokter.com/penyakit/masalah-tht/sakit-tenggorokan,Sakit tenggorokan merupakan salah satu keluhan yang sering dialami oleh banyak orang pada berbagai rentang usia –mulai dari anak-anak
Schistosomiasis,https://www.klikdokter.com/penyakit/masalah-infeksi/schistosomiasis,Schistosomiasis adalah penyakit yang disebabkan oleh cacing parasit dengan keong sebagai perantaranya.
Selulit,https://www.klikdokter.com/penyakit/masalah-kulit/selulit,Selulit merupakan istilah yang digunakan untuk mengambarkan kondisi kulit yang memiliki lesung dan tampak bergumpal.
Sembelit,https://www.klikdokter.com/penyakit/masalah-pencernaan/sembelit,"Sembelit atau konstipasi adalah gangguan pada sistem pencernaan seseorang. Berikut pengertian, gejala, penyebab, dan pengobatan sembelit."
Sengatan Lebah,https://www.klikdokter.com/penyakit/masalah-kesehatan-umum/sengatan-lebah,Sengatan lebah terjadi ketika lebah menusuk kulit manusia. Umumnya gejala yang timbul adalah nyeri pada daerah sengatan.
Septic Arthritis,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/septic-arthritis,"Septik arthritis adalah infeksi pada sendi. Infeksi ini dapat disebabkan berbagai organisme, seperti bakteri, jamur, virus, dan sebagainya."
Shigellosis,https://www.klikdokter.com/penyakit/masalah-infeksi/shigellosis,Shigellosis merupakan penyakit pada usus yang disebabkan oleh kelompok bakteri yang dikenal dengan nama Shigella.
Sindrom Hemolitik Uremik,https://www.klikdokter.com/penyakit/masalah-infeksi/sindrom-hemolitik-uremik,"Sindrom hemolitik uremik merupakan gangguan sistem imun yang menyebabkan gagal ginjal, trombositopenia (kadar trombosit yang rendah)"
Sindrom Reye,https://www.klikdokter.com/penyakit/masalah-infeksi/sindrom-reye,"Dinamakan sesuai dengan nama penemunya, RDK Reye, sindrom Reye merupakan suatu penyakit yang sangat langka."
Sinusitis,https://www.klikdokter.com/penyakit/masalah-tht/sinusitis,"Sinusitis adalah peradangan yang terjadi pada dinding sinus. Mari ketahui pengertian, penyebab, gejala, dan pengobatan sinusitis di sini."
Sistiserkosis,https://www.klikdokter.com/penyakit/masalah-infeksi/sistiserkosis,Sistiserkosis adalah suatu istilah yang digunakan untuk menggambarkan infeksi akibat telur dari cacing pita Taenia solium.
Skabies,https://www.klikdokter.com/penyakit/masalah-kulit/skabies,Skabies merupakan kondisi yang menyebabkan rasa gatal pada kulit akibat terdapatnya tungau yang menggali ke dalam kulit.
Spondiloartritis,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/spondiloartritis,Spondyloarthritis adalah penyakit reumatik autoimun dengan gejala radang sendi. Penyebab spondiloartritis belum diketahui pasti.
Staphylococcus Scalded Skin Syndrome,https://www.klikdokter.com/penyakit/masalah-kulit/staphylococcus-scalded-skin-syndrome,Staphylococcus Scalded Skin Syndrome (SSSS) merupakan kondisi infeksi kulit berat yang timbul akibat infeksi dari bakteri Staphylococcus aur
Stretch Mark,https://www.klikdokter.com/penyakit/masalah-kulit/stretch-mark,"Stretch mark, atau juga dikenal dengan istilah striae, merupakan kondisi pada kulit di mana muncul garis-garis beruntai pada kulit."
Stretch Marks,https://www.klikdokter.com/penyakit/masalah-kulit/stretch-marks,"Stretch marks, atau juga dikenal dengan istilah striae, merupakan kondisi pada kulit di mana muncul garis-garis beruntai pada kulit."
Suara Serak,https://www.klikdokter.com/penyakit/masalah-tht/suara-serak,Gangguan suara dapat terjadi karena berbagai penyebab. Salah  satu gangguan suara yang cukup sering ditemui adalah suara serak.
Syok Hipovolemik,https://www.klikdokter.com/penyakit/gangguan-darah/syok-hipovolemik,Syok hipovolemik merupakan kondisi ketika tubuh mengalami kehilangan lebih dari 20 persen darah atau cairan.
Tahi Lalat,https://www.klikdokter.com/penyakit/masalah-kulit/tahi-lalat,"Tahi lalat, atau secara medis disebut nevus pigmentosus, merupakan gangguan pigmen di kulit."
Tendinitis,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/tendinitis,"Tendinitis merupakan penyakit yang ditandai dengan adanya peradangan pada tendon, yaitu urat yang mengubungkan antara otot dengan sendi."
Tendinitis Achilles,https://www.klikdokter.com/penyakit/masalah-otot-dan-sendi/tendinitis-achilles,"Tendinitis achilles adalah peradangan dari tendon achilles, penghubung otot betis dan tulang tumit. Berikut penyebab, gejala, dan pengobatan"
Thalassemia,https://www.klikdokter.com/penyakit/gangguan-darah/thalassemia,Thalassemia adalah penyakit kelainan darah yang menyebabkan protein yang ada di dalam sel darah merah (hemoglobin) tidak berfungsi  Baik.
Tinea Barbae,https://www.klikdokter.com/penyakit/masalah-kulit/tinea-barbae,Tinea barbae merupakan infeksi akibat jamur yang menyerang area tumbuhnya janggut dan kumis.
Tinea Capitis,https://www.klikdokter.com/penyakit/masalah-kulit/tinea-capitis,Tinea kapitis merupakan infeksi jamur pada kulit kepala beserta rambut. Tanda dan gejala dari tinea kapitis dapat bervariasi.
Tinea Corporis,https://www.klikdokter.com/penyakit/masalah-infeksi/tinea-corporis,Tinea korporis merupakan infeksi jamur pada lapisan atas kulit tubuh.
Tinea Cruris,https://www.klikdokter.com/penyakit/masalah-infeksi/tinea-cruris,"Tinea cruris, atau biasa disebut jock itch, adalah infeksi jamur yang menyerang kulit di sekitar kelamin, anus, dan bokong."
Tinea Pedis,https://www.klikdokter.com/penyakit/masalah-kulit/tinea-pedis,Tinea pedis atau dikenal dengan kutu air memicu rasa gatal di sela jari-jari kaki. Bagaimana pengobatan dan pencegahan tinea pedis?
Toksoplasmosis,https://www.klikdokter.com/penyakit/masalah-infeksi/toksoplasmosis,Toksoplasmosis adalah penyakit yang disebabkan infeksi protozoa Toksoplasma gondii.
Trikomoniasis,https://www.klikdokter.com/penyakit/masalah-infeksi/trikomoniasis,Trikomoniasis merupakan penyakit menular seksual yang disebabkan oleh parasit Trichomonas vaginalis.
Urtikaria,https://www.klikdokter.com/penyakit/masalah-kulit/urtikaria,"Urtikaria, atau juga dikenal dengan istilah biduran, merupakan kondisi di mana terdapat adanya lesi pada kulit yang meninggi dan gatal."
Varises Esofagus,https://www.klikdokter.com/penyakit/masalah-tht/varises-esofagus,"Varises merupakan kondisi pelebaran abnormal pada pembuluh darah vena. Pada varises, dinding pembuluh darah melebar, tipis, dan mudah pecah."
Vitiligo,https://www.klikdokter.com/penyakit/masalah-kulit/vitiligo,Vitiligo adalah kondisi kulit berubah warna menjadi lebih terang akibat kurangnya melanin atau zat pewarna kulit. Bagaimana pengobatannya?
Xanthoma,https://www.klikdokter.com/penyakit/masalah-kulit/xanthoma,Xanthoma merupakan kelainan kulit yang ditandai dengan penumpukan lemak. Biasanya xanthoma terjadi di dekat kelopak mata bagian atas.
