"id","nama_obat","khasiat","efek_samping","deskripsi","foto_obat"
"70","Dandang Gendis","Kencing Manis, Lemah Syahwat, Disentri, dan Gangguan Ginjal.","Meskipun belum ditemukan literatur yang menyebutkan adanya kontraindika maupun efek samping dani konsums tanaman dandang gendis, namun sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadan
1. Bagi yang sedang hamil dan menyus jangan mengonsumsinya.

2. Bagi anak-anak sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Perdu tinggi mencapai 2,5 m. Batang berkayu, tegak, beruas, dan berwarna hijau. Daun tunggal, berhadapan, bentuk lanset, panjang 8-12 mm, lebar 4- 6 mm, bertulang menyirip, berwarna hijau Bunga majemuk, berbentuk malai, di ketiak daun dan di ujung batang, mahkota bunga berbentuk tabung, panjang 2-3 cm berwarna merah muda Buah kotak, bulat memanjang, dan berwarna cokelat.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Dandang-Gendis.jpg"
"71","Daun Dewa","Pembengkakan Payudara, Memar, Bengkak Akibat Tulang Patah, Wasir, Gigitan Hewan Berbisa, Luka Bakar, Tersiram Air Panas, Luka Berdarah, Bisul, Radang Kulit Bernanah, Borok, dan Kutil.","Tanaman daun dewa memberikan efek sebagai pembeku darah. Selain itu, memiliki efek samping yang mengakibatkan toksisitas hati (hepatic toxicity) dimana efek sampingnya mengakibatkan penyakit hati venooklusif yang ditandai dengan nyeri hepatomegali, aviditas cairan, berat badan, dan penyakit kuning. Sebaiknya jika akan mengonsumsinya, berkonsultasi terlebih dahulu dengan herbalis atau dokter terutama bagi ibu hamil, menyusui, dan anak-anak.","Herba tegak, tinggi 30-5o cm, bila agak tua bercabang banyak. Batang lunak berwarna hijau. Daun tunggal, berambut lebat, berbentuk bulat telur sampai bulat memanjang, tepi daun berwarna ungu dan bergerigi tajam, permukaan bawah daun hijau muda keunguan. Bunga majemuk bongkol, keluar dari ujung tangkai, berwarna kuning tua. Akar membentuk umbi, warnanya keabu-abuan, dan panjangnya 3-6 cm.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-dewa.jpg"
"72","Daun Encok","Rematik, Memar, Terkilir, dan Nyeri Lambung.","Pada dosis rendah, tumbuhan ini menstimulan sistem saraf pusat Adapun dosis tinggi dapat menyebabkan kematian karena gagal pernapasan.","Tanaman Herba yang tingginya mencapai 1-2 m. Batang bulat, licin, beralur. Daun tunggal, posisi berselang seling, bundar telur-melanset hingga menjorong-lonjong, pangkal daun membaji, ujung meruncing atau bertusuk, gundul, sering dengan titik titik putih berlilin di bagian bawah. Perbungaan berupa tandan, warnanya putih. Kelopak bunganya berwarna hijau gundul, dibungkus dalam kelenjar tangkai. Buahnya kecil, bulat panjang, hijau sewaktu muda dan cokelat jika sudah tua. Biji kecil, berukuran 6 mm x 2 mm, berwarna cokelat.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-encok-apotekhidup.jpg"
"73","Daun Jinten","Sariawan, Batuk, dan Cacingan.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi daun jinten. Namun, sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Herba sukulen yang tingginya dapat mencapai i m. Percabangannya banyak, berbulu padat terutama pada bagian yang masih muda. Daunnya tebal berdaging, berbentuk bulat atau seperti ginjal dengan posisi berhadapan, pinggiran daun bergerigi dan permukaannya berbulu seperti beludru. Perbungaan muncul di ketiak daun atau di ujung percabangan berupa tandan. Bunga- bunga berkelompok, berwarna biru. Biji berbentuk gepeng keras, berwarna cokelat.","https://storage.googleapis.com/herbitionalbucket/foto_obat/Daun-Jinten.jpg"
"74","Daun Madu","Peluruh Seni, Rematik, dan Gigitan Ular.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi tanaman daun madu. Namun, sebaiknya konsultasikan terlebih dahulu kepada pakar pengobatan herbal atau dokter dalam memanfaatkannya sebagai obat yang dikonsumsi langsung, terutama bagi wanita hamil dan anak-anak.","Semak mencapai tinggi a m Daun berbentuk bulat panjang menyempit hingga bulat telur, berwarna hijau tua pada permukaan atas dan hijau pucat pada permukaan bawah. Perbungaan sekitar 5 cm panjangnya, berbentuk saluran berwarna violet, merah muda, atau putih. Buah kapsul memanjang sekitar 1,5 cm, menjadi licin dan mengilap pada saat buah sudah masak.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-madu-apotekhidup.jpg"
"75","Daun Panahan","Sariawan, Demam, dan Sakit Kepala.","Meskipun belum ada penelitian ilmiahnya, namun diduga mengandung senyawa beracun yang dapat menyebabkan kerusakan hati. Efek samping lainnya dapat menyebabkan tremor otot, kelemahan, dan sembelit. Jika dikonsumsi berlebihan atau tidak sesuai dengan anjuran herbalis dapat memungkinkan terjadinya kematian.","Herba menahun dan banyak membentuk anakan. Batangnya panjang dan tumbuh ke atas, sering membentuk akar o,5- im panjangnya pada bagian kaki. Daun tunggal berhadapan, berbentuk lanset dengan pangkal dan ujung meruncing, tepi rata, berwarna hijau keunguan. Bunga di ujung batang berwarna hijau keunguan. Buah berupa buah kendaga.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-panahan.jpg"
"76","Daun Perak","Bisul.","Meskipun belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi daun perak. Sebaiknya konsultasikan ke herbalis atau dokter untuk penggunaan daun perak sebagai bahan pengobatan.","Herba dengan tinggi antara 2-7 cm. Batangnya merambat dengan stolon, berwarna merah keunguan. Daunnya adalah daun tunggal, bersilang berhadapan, tepi daun beringgit, tulang daun menyirip dengan helaian daun berwarna hijau-merah dan keperakan. Bunganya merupakan bunga tunggal yang muncul dari ketiak daun, mempunyai lima kelopak berwarna ungu, dan mahkota bunga berbentuk tabung yang berbagi lima, berwarna merah menyala. Buahnya berbentuk bulat telur, berwarna ungu, dan berbulu di bagian permukaannya. Bijinya berbentuk pipih dan berwarna kuning.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-perak.jpg"
"77","Daun Sambang Darah","Penyakit Kulit, Disentri, dan Gangguan Haid.","Lateks putih kekuningan yang terkandung di dalam tanaman daun sambang darah beracun dan dapat menyebabkan dermatitis ketika kontak dengan kulit yang sensitif.

Ketika kontak dengan mata, getahnya dapat mengakibatkan kebutaan sementara mungkin karena efek iritan yang terkandung di dalamnya. Sebaiknya wanita hamil dan menyusui serta anak- anak tidak menggunakan tanaman ini sebelum berkonsultasi dengan pakar pengobatan tradisional.","Tanaman berbentuk perdu, tingginya 0,5-1,5 m. Akar tunggang. Batang berkayu, silindris, tegak, percabangan banyak, ke atas, atau mendatar. Daun tunggal, tersusun berhadapan, bentuk jorong hingga lanset, panjang4-15 cm, ujung dan pangkal runcing, tepi bergerigi halus, pertulangan menyirip, permukaan atas mengilap, permukaan bawah halus. Bunga tunggal, muncul di sebelah ketiak daun, mahkota berwarna putih. Buah berbentuk bulat, panjang 1 cm, berwarna merah, terdiri dari tiga keping yang menyatu.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-sambang-darah.jpg"
"78","Daun Sendok","Batuk Kering, Kencing Batu, Cacingan, Wasir, Bisul, Penyakit Kulit, dan Membersihkan Darah Luka.","Dilaporkan ada terdapat reaksi alergi (dermatitis) dari pemakaian daun sendok. Diduga hal ini dikarenakan bagian berwarna hijau dari tanaman ini yang menghasilkan minyak mustard tipe thioglikosid, yang dapat melepaskan bahan iritan atau penyebab alergi.

Biji dari tanaman ini juga dilaporkan dapat menimbulkan reaksi sensitivitas dan dermatitis. Penelitian secara in vitro terhadap daun sendok yang telah dilakukan menemukan bahwa pemakaian secara berlebihan akan dapat menyebabkan efek laksatif (memudahkan buang air besar), sehingga disarankan agar tidak digunakan pada ibu hamil dan menyusui.","Tanaman termasuk herba menahun, tingginya 10-20 cm, akar keputih- putihan. Daun bersatu, roset, berbentuk bulat telur sampai elips, tepi bergerigi tidak beraturan, permukaan gundul. Perbungaan berbentuk malai, panjang 5-20 cm, bunga padat, daun pelindung berbentuk bulat telur. Buah panjang 2-4 cm, biji elips atau elips sampai segitiga, berwarna cokelat tua sampai agak hitam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-sendok.jpg"
"79","Daun Seribu","Nyeri Haid, Pencernaan Lemah, Kejang-kejang, dan Pendarahan.","Bagi yang sedang hamil dan menyusui: jangan mengonsumsi daun seribu. Hal ini diyakini mempengaruhi siklus menstruasi dan dapat menyebabkan keguguran. Sebaiknya bagi Anda yang sedang menyusui hindari konsumsi daun seribu.

Daun seribu dapat menyebabkan reaksi alergi pada orang yang sensitif terhadap keluarga Asteraceae atau Compositae. Jika Anda memiliki alergi, pastikan untuk memeriksa dulu dengan dokter sebelum mengonsumsi daun seribu.

Bagi yang sudah operasi bedah: daun seribu dapat memperlambat pembekuan darah sehingga ada kekhawatiran bahwa daun seribu mungkin meningkatkan perdarahan selama dan setelah operasi. Berhenti mengonsumsi daun seribu setidaknya dua dijadwalkan. minggu sebelume operasi","Tumbuhan herba tegak dengan tinggi 15-45 cm dan berbau aromatis. Daun majemuk menyirip ganda, panjang 30- 35 cm dan menyempit ke pangkal, tidak bertangkai, dan sedikit bergigi. Kuntum bunga kecil berbentuk kerucut dengan bunga pita putih. Buah kecil, berbentuk bulat telur, dan berwarna coklat.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-seribu-apotekhidup.jpg"
"80","Daun Ungu","Luka, Bengkak, Borok, Bisul, Penyakit Kulit, Bengkak Liver, Pencahar, Wasir, Batu Empedu, Batuk Darah, dan Gangguang Haid.","Meskipun belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi daun ungu. Perlu kehati-hatian mengonsumsi daun ungu karena dalam satu percobaan menunjukkan daun ungu menyebabkan kematian hewan yang dipercobakan, yakni tikus-albino swiss. Wanita hamil dan menyusui tidak dianjurkan mengonsumsi daun ungu.","Tanaman termasuk perdu yang memiliki batang tegak, ukurannya kecil, dan tingginya hanya dapat mencapai 3 m. Batangnya berwarna ungu, penampang batangnya berbentuk mendekati segitiga tumpul. Posisi daun letaknya berhadap-hadapan. Bunga tersusun dalam satu rangkaian tandan yang berwarna merah tua.","https://storage.googleapis.com/herbitionalbucket/foto_obat/daun-ungu.jpg"
"81","Delima","Cacing Pita, Batuk, Diare, Radang Gusi, Pendarahan, Bronkitis, Menurunkan Berat Badan, Sariawan, Tenggorokan Sakit, Suara Parau, Tekanan Darah Tinggi, Perut Kembung, Demam, dan Batuk.","Sebaiknya berhati-hati bagi pasien yang mengonsumsi obat-obatan kolesterol tinggi dan tekanan darah tinggi. Selain itu, mengonsumsi jus delima dapat meningkatkan risiko rhabdomyolysis, yaitu suatu kondisi yang melibatkan kerusakan otot yang dapat menyebabkan gagal ginjal, khuSusnya jika sedang mengonsumsi rosuvastatin, obat yang mengatasi kolesterol.","Tanaman perdu dengan tinggi 2-5 m. Batang berkayu bulat, cabang berduri, masih muda berwarna cokelat dan setelah tua hijau kotor. Daun tunggal, bentuk lanset, tepi rata, ujung runcing, pangkal tumpul, panjang 1-8 cm, lebar 5-15 mm, pertulangan menyirip, permukaan mengilap, berwarna hijau. Bunga tunggal,di ujung cabang, tangkai pendek, kelopak berlekatan, berwarna merah atau kuning pucat Buah buni, diameter 5-12 cm, hijau kekuningan. Saat masih muda, berwarna hijau sampai hijau kemerah merahan. Setelah tua, warnanya berubah, bergantung jenisnya. Biji bulat, keras, kecil, dan merah.","https://storage.googleapis.com/herbitionalbucket/foto_obat/delima.jpg"
"82","Echinacea","Demam, Infeksi Kronis pada Saluran Nafas dan Saluran Urin, Memulihkan Sistem Kekebalan Tubuh, dan Melindungi Tubuh Terhadap Infeksi.","Echinacea pada dasarnya tidak beracun jika diminum secara oral. Sebaiknya, jika ingin mengonsumsi kembang kertas harus berkonsultasi terlebih daulu dengan praktisi herbal terutama bagi mereka yang memiliki penyakit autoimmune (kekebalan tubuh) seperti lupus atau penyakit progresif lainnya, seperti tuberkulosis atau multiple sclerosis.

Mereka yang alergi terhadap bunga dari keluarga daisy harus berhati-hati jika ingin mengonsumsi Echinacea. Sejauh ini belum diketahui kontraindikasi untuk penggunaan Echinacea selama kehamilan atau menyusui, tetapi sebaiknya dihindari saja.

Bagi yang memiliki riwayat alergi sebaiknya juga menghindari konsumsi Echinacea ini. Echinacea sebaiknya tidak digunakan dalam jangka waktu panjang, yaitu tidak boleh lebih dari delapan minggu karena sistem imun alami tubuh menjadi menurun. Echinacea hanya mempunyai efektivitas pada pemberian 1-2 minggu.","Herba tahunan yang tingginya mencapai 2 m. Bentuk daun lanset sampai jorong dengan panjang 10-20 cm dan lebar 1,5-10 cm. Bunga majemuk gabungan dengan warna ungu atau merah jambu, beberapa di antaranya berwarna kuning atau putih dan tersusun dalam kepala berbentuk kerucut terbalik. Kerucut besar sebenarnya kepala berbiji dengan duri tajam seperti sikat atau bulu landak.","https://storage.googleapis.com/herbitionalbucket/foto_obat/echinacea.jpg"
"83","Ekor Kucing","Disentri, Radang Usus, dan Luka.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi tanaman ekor kucing. Namun, sebaiknya beberapa hal ini perlu diperhatikan sebagai sikap kewaspadaan.

1.Bagi yang sedang hamil dan menyusui: jangan mengonsumsi dengan memakan atau meminum melalui mulut.

2. Bagi anak-anak: sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.

","Tanaman perdu, tegak, tinggi 2-3 m. Percabangan bulat, cokelat kehijauan. Daun tunggal, lonjong, ujung runcing, pangkal tumpul, tepi bergerigi, permukaan mengkilap, panjang 10-15 cm, lebar 5-8 cm, pertulangan menyirip, tangkai silindris, berbulu, hijau. Bunga majemuk, berbentuk bulir, panjang + 24 cm, di ketiak daun, tangkai pendek, silindris, berbulu, merah. Buah bulat, kecil, dan hijau. Biji bulat, kecil, dan putih.","https://storage.googleapis.com/herbitionalbucket/foto_obat/ekor-kucing.jpg"
"84","Ekor Tupai","Noda pada Kulit.","Meskipun belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari penggunaan tanaman ini, tetapi tetap harus berhati- hati dan jangan berlebihan pemakaiannya.","Tanaman perdu yang tingginya mencapai 5m. Batang silindris, tegak, warna cokelat, permukaan halus, ranting berambut. Daun tunggal, bertangkai pendek; tersusun berseling, berwarna- warni cokelat, merah, putih, atau ungu, bentuk jantung atau lonjong, panjang 5-15 cm; lebar 2-12 cm; ujung runcing, pangkal berlekuk, tepi bergerigi atau rata, permukaan atas dan bawah halus. Bunga majemuk, berbentuk bulir, muncul di ketiak daun, kelopak berbentuk mangkuk, berwarna ungu, mahkota berwarna putih, tetapi kadang-kadang ungu. Buah merah berbentuk kapsul, beruang tiga. Biji berbentuk ginjal dan berwarna hitam","https://storage.googleapis.com/herbitionalbucket/foto_obat/ekor-tupai-3.jpg"
"85","Gadung","Kusta, Kutil, Kapalan, dan Mata Ikan.","Gadung merupakan umbi yang beracun sehingga perlu pengolahan terlebih dahulu jika akan dimakan. Pemakaian yang terlalu banyak, dapat menyebabkan keracunan.","Tumbuhan perambat, berumur menahun, panjang mencapai 10 m. Batang berkayu, silindris, membelit, warna hijau, bagian dalam solid, permukaan halus, berduri. Daun majemuk, bertangkai, beranak daun tiga, warna hijau, panjang 20-25 cm, lebar 1-12 cm, helaian daun tipis lemas, bentuk lonjong, ujung meruncing, pangkal tumpul, tepi rata, pertulangan melengkung, permukaan kasap. Perbungaan bentuk tandan, di ketiak daun, kelopak bentuk corong, mahkota hijau kemerahan. Buah bulat setelah tua biru kehitaman. Biji berbentuk ginjal.Umbinya berwarna cokelat muda, diliputi rambut-rambut akar yang besar dan kaku","https://storage.googleapis.com/herbitionalbucket/foto_obat/gadung.jpg"
"86","Gambir","Disentri, Diare, Luka, Luka Bakar, Sariawan, dan Suara Parau.","Gambir digunakan untuk menghentikan diare, tetapi bila mengonsumsi secara berlebihan (misal lebih dari satu ruas jari) akan mengakibatkan kesulitan buang air besar beberapa hari.","Perdu dengan batang dapat mencapai 3 m. Batang tegak, bulat, percabangan simpodial, warna cokelat pucat. Daun tunggal, berhadapan, bentuk lonjong, tepi bergerigi, pangkal bulat, ujung meruncing, panjang 8-13 cm, lebar 4-7 cm, warna hijau. Bunga majemuk, berbentuk lonceng, muncul di ketiak daun, panjang 3-5 cm, mahkota terdin dari lima helai yang berbentuk lonjong, berwarna ungu. Buah berbentuk bulat telur, panjang 1- 1,5 cm, berwarna hitam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gambir2.jpg"
"87","Gandapura","Demam, Peluruh Kemih, Antiradang, Batuk, Susah Buang Air Besar, Sakit Kepala, Bisul, Koreng, Tulang Patah, Luka Bakar, dan Tersiram Air Panas.","Belum diperoleh informasi mengenai kontraindikasi penggunaan tumbuhan gandapura.","Semak tegak mencapai tinggi 2 m, bercabang sedikit dengan batang bulat berambut kasar Daun tunggal bertangkai panjang, helaian daun bercangap lima sangat dalam dengan panjang 6- 22 cm, kedua permukaan berambut kasar, bertulang menjari, tepi bergerigi, berujung runcing, dan berwarna hijau. Bunga tunggal, berbentuk lonceng, muncul di ketiak daun, kelopak 2-3 cm, segitiga, berbulu, berwarna hijau, mahkota lima, pangkalnya merah, panjang 3-10 cm, berwarna kuning. Buah kotak, bulat telur, berusuk lima, berbulu atau berambut minip sikat, cokelat kehitaman. Biji berbentuk ginjal, pipih, berlekuk, keras, dan berwarna cokelat kehitaman.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gandapura.jpg"
"88","Gandarusa","Sakit Kepala, Rematik, dan Terkilir.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi tanaman gandarusa. Gandarusa memiliki efek analgetik, diuretik, dan antispermatozoa.

Daunnya mengandung alkaloid yang berpotensi racun bagi manusia. Tumbuhan ini dilaporkan digunakan sebagai alat kontrasepsi pria oleh beberapa penduduk lokal Papua.","Perdu tumbuh tegak, tinggi dapat mencapai 2 m. Percabangan banyak, dimulai dari dekat pangkal batang. Cabang yang masih muda berwarna ungu gelap dan bila sudah tua warnanya menjadi cokelat mengilap. Letak daun berhadapan, daun tunggal berbentuk lanset dengan panjang 5-20 cm, lebar 1-3,5 cm, tepi rata, ujung daun meruncing, biji bertangkai pendek 5– 7,5 mm, warna daun hijau gelap. Bunganya kecil berwarna putih yang tersusun dalam rangkaian berupa malai atau bulir yang menguncup, berambut menyebar, dan keluar dari ketiak daun atau ujung tangkai. Buahnya berbentuk bulat panjang.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gandarusa.jpg"
"89","Gandasuli","Peluruh Haid, Bengkak, dan Radang Tenggorokan","Meskipun belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi gandasuli. Sebaiknya berhati-hati terutama bagi wanita hamil dan menyusui, lebih baik menghindari mengonsumsi obat ini.","Herba tegak, biasanya dengan rimpang berdaging, batang berdaun. Daun tungga dan berselang Ujung daun runcing, panjang sekitar 20-50 cm dengan lebar 3-10 cm. Bunga majemuk berwarna putih dan berbau harum. Perbungaan tandan terletak di ujung. Daun penumpu lebar dan tersusun seperti genting, rapat, jumlahnya 1-6 bunga per daun penumpu. Bunga sangat harum, berwarna putih, kuning atau merah. Kelopak bentuk tabung. Mahkota bentuk tabung. Buah bundar hingga bulat telur. Biji dilengkapi dengan selaput biji.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gandasuli.jpg"
"90","Ganitri","Sakit Perut, Sakit di Dada, dan Pembengkakan pada Limpa.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi efek samping dari konsumsi tanaman genitri. Namun, sebaiknya konsultasikan terlebih dahulu ke herbalis atau dokter bila akan meminum ramuan undne dari ganitri.","Tanaman berbentuk pohon, tinggi mencapai 40 m, berbanir tipis sampai 6 m. Daun bersilang atau mengumpul di ujung ranting, berbentuk elips sampai bulat telur sungsang, berukuran 12-17 cm x 4-6 cm, pangkal melonjong, ujung meruncing, tepi menggergaji, panjang tangkai s-15 mm. Perbungaan berupa tandan, jumlah bunga 12-26 bunga, tangkai 9-15 mm, kelopak berukuran 8-11 mm x 1-2 mm, berwarma hijau muda atau agak merah, mahkota lonjong-bulat telur berukuran 12-15 mm X3-4 mm, berwarna putih kekuningan atau kehijauan. Buah bulat, berukuran 20 mm x 30 mm, biru terang atau keunguan. Biji berjumlah 2-5.","https://storage.googleapis.com/herbitionalbucket/foto_obat/ganitri-1.jpg"
"91","Ganyong","Diare, Pusing, dan Hepatitis.","Hingga kini belum ditemukan literatur yang menyebutkan adanya kontraindikasi ataupun efek samping dari konsumsi rimpang maupun biji tanaman ganyong. Namun, demikian konsumsi seperlunya tentu lebih aman daripada berlebihan.","Herba tegak. Batang berdaging, muncul dari rimpang, berwarna ungu. Daun tersusun spiral dengan pelepah besar terbuka, kadang-kadang bertangkai daun pendek, helaian daun membundar telur sempit sampai menjorong sempit. Perbungaan di ujung, berupa tandan, kelopak membundar telur, mahkota memita, berwarna merah pucat sampai kuning. Buah kapsul, membulat telur, merekah, bagian luar dengan duri-duri lunak. Biji banyak, membulat, halus dan keras, kehitaman sampai merah tua. Rimpang bercabang dapat mencapai 60 cm, dengan buku-buku yang berdaging menyerupai umbi, tertutup dengan sisik","https://storage.googleapis.com/herbitionalbucket/foto_obat/ganyong.jpg"
"92","Gendola","Flu, Bisul, dan Sembelit.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi efek samping dari konsumsi daun undnew dan akar gandola. Namun, sebaiknya jangan konsumsi secara berlebihan dan tetap konsultasikan kepada yang lebih ahli dalam pengobatan.","Tanaman berbentuk herba merayap atau memanjat. Batangnya tidak berkayu dan sangat lemah, bentuknya bulat, lunak, bercabang. Batang yang merayap di atas tanah akan mengeluarkan akar. Daun tunggal, letaknya berseling. Bunganya majemuk keluar dari ketiak daun, panjang 3-21 cm, mahkota putih dengan ujung ungu. Buahnya buni, bulat, diameter 4-7 mm, saat masih muda berwarna hijau dan setelah masak warnanya menjadi ungu. Bijinya satu, bulat, keras, warnanya merah keputihan.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gendola.jpg"
"93","Genjer","Antibiotik, Mengurangi Resiko Penyakit Jantung dan Kanker, dan Keracunan Jengkol.","Belum diperoleh informasi bahaya dari mengonsumsi genjer sebagai sayuran atau lalapan. Namun, perlu kehati-hatian dalam memilih genjer untuk dijadikan makanan. Pastikan tanaman ini berasal dari lahan yang bersih dan sehat, karena tanaman ini dapat menyerap logam berat seperti merkuri dalam tubuh kita bila termakan. tidak dapat larut","Herba air tahunan yang dapat mencapai tinggi % m dan memiliki rimpang tebal dan tegak, terbenam dalam lumpur. Batang tegak lurus, berbentuk bundar, tidak berkayu, dan berwarna hijau. Daun tegak atau miring, tangkainya panjang dan berlubang, bentuk helainya bervariasi, SUsunan tulang daunnya melengkung. Bunga majemuk terdapat di ketiak daun, berbentuk payung, terdiri atas 3-15 kuntum, mahkota berwarna kuning, kelopak berwarna hijau. Buah semu dengan biji bulat, kecil, dan berwarna hitam.","https://storage.googleapis.com/herbitionalbucket/foto_obat/genjer-1.jpg"
"94","Gerbera","Menenangkan Urat Saraf.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi daun gerbera.","Semak tahunan, daunnya berbentuk memanjang, berwarna hijau dengan pinggiran daun bergerigi besar. Bunga memiliki bongkol besar yang merupakan pokok dan dua lapis rangkaian daun mahkota berbentuk panjang yang berwarna-warnı menarik, yaitu oranye, kuning, merah jambu, merah, putih, pink salmon, dan ungu. Bagian bongkol juga terdini atas susunan ratusan bunga kecil- kecil sehingga terlihat menyerupai satu bunga yang utuh.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gerbera.jpeg"
"95","Gingseng Jawa","Bisul dan Pelancar ASI.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi dari konsumsi daun ginseng jawa. Namun, tetap perlu hati-hati jangan terlalu berlebihan dalam mengonsumsinya.","Herba berbatang bulat sukulen dan berdiri tegak dan tinggi 40-60 cm. Permukaan daun lembut dan licin, agak berdaging, bagian atas berwarna hijau terang, licin dan gundul, sedangkan permukaan bagian bawah hijau muda. Perbungaan majemuk dalam malai di ujung tangkai, berbentuk anak payung menggarpu, bunga kecil dengan daun mahkota merah ungu berjumlah lima helai berbentuk oval atau bulat telur terbalik yang panjangnya 3-4 mm. Daun kelopak berjumlah dua helai lepas, ungu, bulat telur, panjang sekitar 2 mm. Buah berbentuk bola atau agak kotak berwarna merah kecokelatan, berdiameter 3 mm, bijinya kecil berukuran 0,7-1 mm, berwarna hitam mengilap, agak membundar pipih atau gepeng.","https://storage.googleapis.com/herbitionalbucket/foto_obat/gingseng-jawa.jpg"
"96","Hahapaan","Sakit Perut, Bisul, Borok, Bengkak, dan Luka.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi efek samping penggunaan hahapaan sebagai obat.","Semak berkayu, berakar dalam, tinggi 1-4 m. Beranak daun tiga, tangkai daun berlubang sempit, bersayap, panjang tangkai daun 10 cm, anak daun berbentuk lanset, panjang 6-16 cm dan lebar 7 cm, daging daun seperti kertas, urat daun berambut halus, daun berwarna hijau tua. Perbungaan majemuk tidak berbatas, posisi bunga duduk, panjang 2,5-10 cm, permukaannya halus seperti sutra, daun mahkota hijau, panjang 6- 13 mm kehijauan, umumnya berbentuk jorong, dan memiliki urat paralel merah yang jelas. Buah polong kering pecah memanjang, panjang 8-15 mm dan lebar 5 mm, mengandung dua biji. Biji berbentuk bundar, diameter biji 2-3 mm, berwarna hitam mengilap.","https://storage.googleapis.com/herbitionalbucket/foto_obat/hahapaan.jpg"
"97","Iler","Ambeien, Diabetes Mellitus, Demam, Diare, Bisul, dan Keputihan.","Belum ditemukan literatur yang menyebutkan adanya kontraindikasi maupun efek samping dari konsumsi iler. Namun, sebaiknya tidak mengonsumsi dengan dosis yang berlebihan sebelum berkonsultasi dengan herbalis atau dokter.","Herba tegak dan merayap dengan tinggi 30-150 cm, mempunyai penampang batang berbentuk segiempat dan termasuk kategori tumbuhan basah yang batangnya mudah patah. Daun berbentuk hati dan pada setiap tepiannya dihiasi oleh jorong-jorong atau lekuk-lekuk tipis yang bersambungan, didukung oleh tangkai daun, dan memiliki warna yang beraneka ragam. Bunga berbentuk untaian bersusun, muncul pada pucuk tangkai batang.","https://storage.googleapis.com/herbitionalbucket/foto_obat/iler.jpg"
